m,e0,e1,a0,a1,Q,T0,T1,s0
31800.0,0.00015723270440251572,0.9878930817610063,0.006132075471698114,0.9938679245283019,0.00023926070962387858,-39.94581237546201,0.26695494756617344,10
31231.0,0.0006403893567288912,0.9744804841343537,0.013079952611187603,0.9869200473888124,0.0009386083928358824,-18.245122032223442,0.2804490591588153,20
30671.0,0.0012063512764500669,0.9637442535293926,0.01873104887352874,0.9812689511264713,0.0017109981690950349,-12.461929804118654,0.28557553236435446,30
30516.0,0.0022611089264648054,0.9481911128588282,0.027034998033818324,0.9729650019661816,0.0030604356155526924,-8.400600758333232,0.29235715515748106,40
29923.0,0.0037763593222604687,0.9314574073455202,0.03615947598837015,0.9638405240116299,0.004937703237013813,-6.065884278909659,0.30132312768505337,50
29575.0,0.005342349957734573,0.9196280642434489,0.04285714285714286,0.9571428571428572,0.0070112305277140186,-4.965666200741932,0.3115238500316924,60
29440.0,0.008389945652173913,0.9037364130434783,0.05232676630434783,0.9476732336956522,0.011303710360608288,-3.856192017213516,0.3328279391227087,70
29362.0,0.010353518152714392,0.8929228254206116,0.05871534636605136,0.9412846536339486,0.013812052507657935,-3.3271769945067766,0.34038896613959657,80
28751.0,0.013842996765329902,0.8760390942923725,0.06890195123647873,0.9310980487635213,0.018191035762271546,-2.695644641496274,0.35211147157501543,90
28293.0,0.016541193934895556,0.8615912063054466,0.07747499381472449,0.9225250061852756,0.021077638536607823,-2.3149771953365423,0.3543626674127797,100
28304.0,0.021834369700395703,0.8431670435274167,0.08933366308648955,0.9106663369135105,0.027707732679890462,-1.867193825819284,0.36990818682926285,110
28212.0,0.026371756699276903,0.8326244151424925,0.09687367077839218,0.9031263292216078,0.033974497218393074,-1.611545889970817,0.3881242491061073,120
27788.0,0.02994098171872751,0.8112854469555204,0.10932776738160357,0.8906722326183965,0.03597684199616302,-1.3813099943045,0.37723467242362135,130
27036.0,0.03661784287616511,0.7941633377718598,0.12122725255215269,0.8787727474478473,0.04384359222964351,-1.1381858239043157,0.39211772524051325,140
27185.0,0.04064741585433143,0.7814971491631414,0.129575133345595,0.870424866654405,0.04771540134560537,-1.0119007079997868,0.3942511232104839,150
26795.0,0.04877775704422467,0.7601791378988617,0.14429930957268147,0.8557006904273186,0.05591093260214419,-0.8137721777899731,0.40143981569392695,160
26469.0,0.05376100343798405,0.7477048622917375,0.1530280705731233,0.8469719294268767,0.06068682610930254,-0.7169340595338741,0.40611479793446503,170
26365.0,0.06375877109804665,0.7249383652569694,0.1694102029205386,0.8305897970794615,0.07011790848893706,-0.558379015974549,0.41437163892245965,180
26072.0,0.06785056765879104,0.710455661245781,0.17869745320650507,0.8213025467934949,0.07183557575260002,-0.5021819569742417,0.40815753684758727,190
26145.0,0.0782176324344999,0.6907630522088354,0.19372729011283227,0.8062727098871677,0.08137473900007686,-0.3853777088476369,0.4161846012518725,200
25831.0,0.0862529518795246,0.6732995238279587,0.20647671402578296,0.7935232859742171,0.08724063688927919,-0.31301542526415327,0.41669091543147546,210
25607.0,0.09559885968680439,0.6548990510407311,0.22034990432303667,0.7796500956769633,0.09408955870326607,-0.23814300089718704,0.4188060570574568,220
25034.0,0.10274027322840937,0.6404090437005673,0.23116561476392106,0.7688343852360789,0.09860546355845567,-0.18992827054932412,0.41905778772430063,230
25219.0,0.11598398033228914,0.6220310083667077,0.24697648598279076,0.7530235140172092,0.10997319140776307,-0.11001755180413925,0.42911938932467736,240
25361.0,0.12645400417964592,0.5970584756121604,0.26469776428374275,0.7353022357162572,0.11277819552566826,-0.0634871199938352,0.41735065590185494,250
24730.0,0.1367165386170643,0.5854023453295593,0.27565709664375254,0.7243429033562475,0.12145940737400229,-0.013629110798177793,0.4254674734268154,260
24563.0,0.14456703171436713,0.567845947156292,0.28836054227903757,0.7116394577209624,0.12283045874181309,0.010007049964850247,0.4163421710476675,270
24959.0,0.15950158259545655,0.5404062662766937,0.3095476581593814,0.6904523418406187,0.1273636598469986,0.055342469226582,0.40703998805377045,280
24598.0,0.17168062444101145,0.531628587690056,0.32002601837547767,0.6799739816245223,0.1385279440074998,0.1017324279942194,0.42081692436941687,290
24186.0,0.18188208054246258,0.5124038700074424,0.3347391052675101,0.6652608947324898,0.13966362389433878,0.12195403636944394,0.4107794441459572,300
24240.0,0.1948019801980198,0.49096534653465346,0.3519183168316832,0.6480816831683168,0.14191095695274974,0.14740006529108432,0.4004559417936002,310
24400.0,0.21065573770491802,0.47557377049180327,0.3675409836065574,0.6324590163934426,0.15113872614888468,0.18702477728528266,0.4056684103425747,320
24172.0,0.22426774780738043,0.45672679132881017,0.3837704782392851,0.6162295217607149,0.15397593567874163,0.20931285884431164,0.39694802980866145,330
24272.0,0.24225444957152273,0.4338744232036915,0.4041900131839156,0.5958099868160843,0.15776976562781775,0.23630291678267934,0.38957772215928244,340
24078.0,0.2523050087216546,0.4215466400863859,0.4153791843176344,0.5846208156823657,0.15953028391454266,0.2505518242211221,0.3833193552981945,350
24111.0,0.26531458670316455,0.4019742026460951,0.4316701920285347,0.5683298079714653,0.15795086403442504,0.2612107324457732,0.3683623633456158,360
23793.0,0.28323456478796283,0.38637414365569706,0.4484302105661329,0.5515697894338671,0.164289822079153,0.28833139742689967,0.36754284981395907,370
24239.0,0.30129130739716986,0.36470151408886503,0.4682948966541524,0.5317051033458476,0.16398239432969303,0.30344209495376795,0.35213399499247033,380
23918.0,0.3144075591604649,0.3500292666610921,0.48218914624968645,0.5178108537503135,0.1638023727989269,0.3140381244859994,0.34168820895317104,390
